"year","Ts","dOsea","dTsVscales"
-2777500,3.425606,3.23,2.3118515662167
-2775000,3.138854,3.31,1.75143380931851
-2772500,3.246176,3.28,1.96118005173644
-2770000,3.786566,3.13,3.01729875936608
-2767500,3.71415,3.15,2.87577154322273
-2765000,3.389664,3.24,2.24160781894228
-2762500,3.389664,3.24,2.24160781894228
-2760000,3.282006,3.27,2.03120491025412
-2757500,3.677984,3.16,2.80509001843482
-2755000,3.569654,3.19,2.59337377720623
-2752500,3.497574,3.21,2.4525032273331
-2750000,3.786566,3.13,3.01729875936608
-2747500,3.931734,3.09,3.30100985792301
-2745000,3.71415,3.15,2.87577154322273
-2742500,4.113824,3.04,3.65687998037583
-2740000,3.605736,3.18,2.66389113542658
-2737500,3.822816,3.12,3.08814445072153
-2735000,3.282006,3.27,2.03120491025412
-2732500,2.853894,3.39,1.19451827252815
-2730000,2.570726,3.47,0.641104955845623
-2727500,2.079494,3.61,-0.318941131214323
-2725000,1.905384,3.66,-0.659215429749443
-2722500,1.524806,3.77,-1.40300333387845
-2720000,1.4216,3.8,-1.6047054144862
-2717500,1.4216,3.8,-1.6047054144862
-2715000,1.181766,3.87,-2.07342832594949
-2712500,1.559264,3.76,-1.33565986263083
-2710000,1.7666,3.7,-0.930449869172222
-2707500,1.559264,3.76,-1.33565986263083
-2705000,1.455974,3.79,-1.53752610980614
-2702500,2.535456,3.48,0.572174541111639
-2700000,2.079494,3.61,-0.318941131214323
-2697500,2.219286,3.57,-0.045736692980888
-2695000,2.079494,3.61,-0.318941131214323
-2692500,2.359526,3.53,0.228343300279495
-2690000,2.079494,3.61,-0.318941131214323
-2687500,1.59375,3.75,-1.26826166919402
-2685000,1.835936,3.68,-0.794942093839206
-2682500,2.324424,3.54,0.159741218680622
-2680000,2.924966,3.37,1.33341882359063
-2677500,2.960544,3.36,1.40295118240565
-2675000,3.461576,3.22,2.3821500356803
-2672500,3.5336,3.2,2.52291114117507
-2670000,3.569654,3.19,2.59337377720623
-2667500,3.389664,3.24,2.24160781894228
-2665000,3.35375,3.25,2.17141879385704
-2662500,4.07735,3.05,3.5855965115069
-2660000,3.425606,3.23,2.3118515662167
-2657500,3.750344,3.14,2.94650779019981
-2655000,2.99615,3.35,1.47253826340985
-2652500,2.782934,3.41,1.05583661022241
-2650000,2.429814,3.51,0.365711630044801
-2647500,1.801254,3.69,-0.862723342600303
-2645000,1.284384,3.84,-1.87287541131463
-2642500,1.697376,3.72,-1.0657387557485
-2640000,1.905384,3.66,-0.659215429749443
-2637500,2.535456,3.48,0.572174541111639
-2635000,2.64135,3.45,0.779129951881145
-2632500,2.676704,3.44,0.848224533182682
-2630000,3.425606,3.23,2.3118515662167
-2627500,3.317864,3.26,2.10128449096099
-2625000,3.138854,3.31,1.75143380931851
-2622500,3.389664,3.24,2.24160781894228
-2620000,3.282006,3.27,2.03120491025412
-2617500,2.64135,3.45,0.779129951881145
-2615000,2.676704,3.44,0.848224533182682
-2612500,1.974944,3.64,-0.523269876902948
-2610000,2.044616,3.62,-0.387105435299713
-2607500,1.25015,3.85,-1.93978110504876
-2605000,1.387254,3.81,-1.67182999697709
-2602500,1.215944,3.86,-2.00663207659372
-2600000,1.0794,3.9,-2.2734887408817
-2597500,1.628264,3.74,-1.20080875356803
-2595000,2.570726,3.47,0.641104955845623
-2592500,2.64135,3.45,0.779129951881145
-2590000,2.712086,3.43,0.917373836673405
-2587500,3.282006,3.27,2.03120491025412
-2585000,3.677984,3.16,2.80509001843482
-2582500,3.317864,3.26,2.10128449096099
